Approved,ID
0,APPA70109647212
1,APPB10687939341
0,APPC80449411414
0,APPD30665094501
0,APPE80379821637
0,APPF90611935733
1,APPG20993415813
0,APPH30656456927
1,APPI70297912043
1,APPJ50119937105
0,APPK30106042233
0,APPL40962417345
0,APPM90265624408
1,APPN80816878501
0,APPO80036467625
1,APPP70300016724
1,APPQ20714935844
1,APPR10725816917
0,APPT80995817106
0,APPU10455032232
0,APPV20523998348
0,APPW70096327441
1,APPX50146048546
0,APPY80200205609
1,APPZ70268239711
0,APPB10908859928
0,APPC60646419006
0,APPD70986505145
0,APPE40974536227
1,APPF80212605331
1,APPG70118514422
0,APPH60330147508
0,APPI70857836611
1,APPL20333186904
0,APPM70580221014
1,APPN30606238135
1,APPQ60782014415
1,APPT80140966721
0,APPU80930365832
0,APPV80124518928
0,APPW90476067036
0,APPX90531514107
1,APPY80613652222
1,APPA60775566448
1,APPC70771774625
0,APPF80168055929
1,APPG50757073027
0,APPH30859115106
1,APPJ10885387332
1,APPK40949346408
1,APPL60776142522
0,APPN50729023734
1,APPP70407207923
1,APPR40227782118
0,APPV80504514517
0,APPW80566048613
0,APPX80187469727
0,APPZ30260508907
1,APPA50518171015
0,APPB40882474103
1,APPC60427976226
1,APPD90513037337
1,APPG50800243623
0,APPH10433332748
1,APPI40348921805
0,APPJ80439618906
0,APPK30634359001
1,APPL40047305118
0,APPM70985326241
0,APPN20760216327
0,APPO10519239445
0,APPP70822536506
0,APPQ10182368643
0,APPR30764178704
1,APPS60446465843
0,APPT20264132924
1,APPV90184745108
0,APPX70050373318
1,APPY80240353432
1,APPZ80848953507
0,APPD10500401933
0,APPE10200701029
0,APPF90094523116
1,APPG60519369247
0,APPH70673564343
1,APPI10312387415
0,APPJ20310967521
0,APPK80886344639
1,APPM60863037811
1,APPN50560289924
1,APPO70832217022
1,APPP60583131103
0,APPR30748409317
0,APPS10305693407
0,APPT10792153527
0,APPU80979985636
1,APPW90127018832
1,APPX40629447906
0,APPZ20101292145
0,APPB10848417338
1,APPC40239663433
1,APPD20097051518
1,APPE50963262622
1,APPF90075697702
1,APPH10711077908
0,APPI90021288035
0,APPJ80748148121
1,APPK10288641218
0,APPL90732086337
1,APPM70990842401
0,APPN80617857512
0,APPO50383745617
0,APPP60172178734
1,APPR10764977942
1,APPT10480648139
1,APPU60453258232
1,APPX90855367529
0,APPY50250927615
0,APPZ70422039734
1,APPA30393886847
0,APPB50127764908
1,APPC10119469018
0,APPD90858748146
1,APPE30664988236
1,APPF20625877301
0,APPH30151345509
0,APPI50441679612
1,APPJ30361269731
0,APPL80614874904
1,APPM50228117025
1,APPN70012683119
1,APPO90770468211
0,APPP10156766334
0,APPQ40631778427
1,APPR70506299542
1,APPS70665146644
1,APPT70349004743
1,APPU30993402848
0,APPW20622431049
1,APPY20361501233
1,APPZ10238963306
0,APPA30874904437
1,APPB80692747529
0,APPC30041629643
1,APPD30315929734
0,APPE10332383835
1,APPF50037929916
1,APPG10834503041
1,APPH40967627122
0,APPI70312298206
0,APPJ70743728327
1,APPK30679331423
0,APPL60294817522
0,APPM80605571641
0,APPO70732754849
1,APPR90083345128
0,APPS40024724225
1,APPT10406402302
0,APPU60142311444
0,APPX40155362702
1,APPY80690085843
0,APPZ20729429941
1,APPA30531058029
0,APPB80250096128
1,APPC40216184236
0,APPE30598585445
0,APPF10464165547
1,APPG20162638632
0,APPH90167759721
0,APPK10401968049
